Date,Year,Month,Country,Arrivals,Total_Monthly_Arrivals,Est_Revenue_MUSD
2022-07-01,2022,July,Other Countries,17498,47293,82.76
2022-08-01,2022,August,India,8307,37760,66.08
2022-08-01,2022,August,Russia,6041,37760,66.08
2022-08-01,2022,August,United Kingdom,3776,37760,66.08
2022-08-01,2022,August,Germany,3020,37760,66.08
2022-08-01,2022,August,China,2643,37760,66.08
2022-08-01,2022,August,Other Countries,13971,37760,66.08
2022-09-01,2022,September,India,6556,29802,52.15
2022-09-01,2022,September,Russia,4768,29802,52.15
2022-09-01,2022,September,United Kingdom,2980,29802,52.15
2022-09-01,2022,September,Germany,2384,29802,52.15
2022-09-01,2022,September,China,2086,29802,52.15
2022-09-01,2022,September,Other Countries,11026,29802,52.15
2022-10-01,2022,October,India,9245,42026,73.55
2022-10-01,2022,October,Russia,6724,42026,73.55
2022-10-01,2022,October,United Kingdom,4202,42026,73.55
2022-10-01,2022,October,Germany,3362,42026,73.55
2022-10-01,2022,October,China,2941,42026,73.55
2022-10-01,2022,October,Other Countries,15549,42026,73.55
2022-11-01,2022,November,India,13146,59759,104.58
2022-11-01,2022,November,Russia,9561,59759,104.58
2022-11-01,2022,November,United Kingdom,5975,59759,104.58
2022-11-01,2022,November,Germany,4780,59759,104.58
2022-11-01,2022,November,China,4183,59759,104.58
2022-11-01,2022,November,Other Countries,22110,59759,104.58
2022-12-01,2022,December,India,20231,91961,160.93
2022-12-01,2022,December,Russia,14713,91961,160.93
2022-12-01,2022,December,United Kingdom,9196,91961,160.93
2022-12-01,2022,December,Germany,7356,91961,160.93
2022-12-01,2022,December,China,6437,91961,160.93
2022-12-01,2022,December,Other Countries,34025,91961,160.93
2023-01-01,2023,January,India,22559,102545,179.45
2023-01-01,2023,January,Russia,16407,102545,179.45
2023-01-01,2023,January,United Kingdom,10254,102545,179.45
2023-01-01,2023,January,Germany,8203,102545,179.45
2023-01-01,2023,January,China,7178,102545,179.45
2023-01-01,2023,January,Other Countries,37941,102545,179.45
2023-02-01,2023,February,India,23680,107639,188.37
2023-02-01,2023,February,Russia,17222,107639,188.37
2023-02-01,2023,February,United Kingdom,10763,107639,188.37
2023-02-01,2023,February,Germany,8611,107639,188.37
2023-02-01,2023,February,China,7534,107639,188.37
2023-02-01,2023,February,Other Countries,39826,107639,188.37
2023-03-01,2023,March,India,27608,125495,219.62
2023-03-01,2023,March,Russia,20079,125495,219.62
2023-03-01,2023,March,United Kingdom,12549,125495,219.62
2023-03-01,2023,March,Germany,10039,125495,219.62
2023-03-01,2023,March,China,8784,125495,219.62
2023-03-01,2023,March,Other Countries,46433,125495,219.62
2023-04-01,2023,April,India,23209,105498,184.62
2023-04-01,2023,April,Russia,16879,105498,184.62
2023-04-01,2023,April,United Kingdom,10549,105498,184.62
2023-04-01,2023,April,Germany,8439,105498,184.62
2023-04-01,2023,April,China,7384,105498,184.62
2023-04-01,2023,April,Other Countries,39034,105498,184.62
2023-05-01,2023,May,India,18327,83309,145.79
2023-05-01,2023,May,Russia,13329,83309,145.79
2023-05-01,2023,May,United Kingdom,8330,83309,145.79
2023-05-01,2023,May,Germany,6664,83309,145.79
2023-05-01,2023,May,China,5831,83309,145.79
2023-05-01,2023,May,Other Countries,30824,83309,145.79
2023-06-01,2023,June,India,22085,100388,175.68
2023-06-01,2023,June,Russia,16062,100388,175.68
2023-06-01,2023,June,United Kingdom,10038,100388,175.68
2023-06-01,2023,June,Germany,8031,100388,175.68
2023-06-01,2023,June,China,7027,100388,175.68
2023-06-01,2023,June,Other Countries,37143,100388,175.68
2023-07-01,2023,July,India,31468,143039,250.32
2023-07-01,2023,July,Russia,22886,143039,250.32
2023-07-01,2023,July,United Kingdom,14303,143039,250.32
2023-07-01,2023,July,Germany,11443,143039,250.32
2023-07-01,2023,July,China,10012,143039,250.32
2023-07-01,2023,July,Other Countries,52924,143039,250.32
2023-08-01,2023,August,India,30009,136405,238.71
2023-08-01,2023,August,Russia,21824,136405,238.71
2023-08-01,2023,August,United Kingdom,13640,136405,238.71
2023-08-01,2023,August,Germany,10912,136405,238.71
2023-08-01,2023,August,China,9548,136405,238.71
2023-08-01,2023,August,Other Countries,50469,136405,238.71
2023-09-01,2023,September,India,24626,111938,195.89
2023-09-01,2023,September,Russia,17910,111938,195.89
2023-09-01,2023,September,United Kingdom,11193,111938,195.89
2023-09-01,2023,September,Germany,8955,111938,195.89
2023-09-01,2023,September,China,7835,111938,195.89
2023-09-01,2023,September,Other Countries,41417,111938,195.89
2023-10-01,2023,October,India,24023,109199,191.1
2023-10-01,2023,October,Russia,17471,109199,191.1
2023-10-01,2023,October,United Kingdom,10919,109199,191.1
2023-10-01,2023,October,Germany,8735,109199,191.1
2023-10-01,2023,October,China,7643,109199,191.1
2023-10-01,2023,October,Other Countries,40403,109199,191.1
2023-11-01,2023,November,India,33329,151496,265.12
2023-11-01,2023,November,Russia,24239,151496,265.12
2023-11-01,2023,November,United Kingdom,15149,151496,265.12
2023-11-01,2023,November,Germany,12119,151496,265.12
2023-11-01,2023,November,China,10604,151496,265.12
2023-11-01,2023,November,Other Countries,56053,151496,265.12
2023-12-01,2023,December,India,46277,210352,368.12
2023-12-01,2023,December,Russia,33656,210352,368.12
2023-12-01,2023,December,United Kingdom,21035,210352,368.12
2023-12-01,2023,December,Germany,16828,210352,368.12
2023-12-01,2023,December,China,14724,210352,368.12
2023-12-01,2023,December,Other Countries,77830,210352,368.12
2024-01-01,2024,January,India,45815,208253,364.44
2024-01-01,2024,January,Russia,33320,208253,364.44
2024-01-01,2024,January,United Kingdom,20825,208253,364.44
2024-01-01,2024,January,Germany,16660,208253,364.44
2024-01-01,2024,January,China,14577,208253,364.44
2024-01-01,2024,January,Other Countries,77053,208253,364.44
2024-02-01,2024,February,India,48037,218350,382.11
2024-02-01,2024,February,Russia,34936,218350,382.11
2024-02-01,2024,February,United Kingdom,21835,218350,382.11
2024-02-01,2024,February,Germany,17468,218350,382.11
2024-02-01,2024,February,China,15284,218350,382.11
2024-02-01,2024,February,Other Countries,80789,218350,382.11
2024-03-01,2024,March,India,46019,209181,366.07
2024-03-01,2024,March,Russia,33468,209181,366.07
2024-03-01,2024,March,United Kingdom,20918,209181,366.07
2024-03-01,2024,March,Germany,16734,209181,366.07
2024-03-01,2024,March,China,14642,209181,366.07
2024-03-01,2024,March,Other Countries,77396,209181,366.07
2024-04-01,2024,April,India,32750,148867,260.52
2024-04-01,2024,April,Russia,23818,148867,260.52
2024-04-01,2024,April,United Kingdom,14886,148867,260.52
2024-04-01,2024,April,Germany,11909,148867,260.52
2024-04-01,2024,April,China,10420,148867,260.52
2024-04-01,2024,April,Other Countries,55080,148867,260.52
2024-05-01,2024,May,India,24668,112128,196.22
2024-05-01,2024,May,Russia,17940,112128,196.22
2024-05-01,2024,May,United Kingdom,11212,112128,196.22
2024-05-01,2024,May,Germany,8970,112128,196.22
2024-05-01,2024,May,China,7848,112128,196.22
2024-05-01,2024,May,Other Countries,41487,112128,196.22
2024-06-01,2024,June,India,24963,113470,198.57
2024-06-01,2024,June,Russia,18155,113470,198.57
2024-06-01,2024,June,United Kingdom,11347,113470,198.57
2024-06-01,2024,June,Germany,9077,113470,198.57
2024-06-01,2024,June,China,7942,113470,198.57
2024-06-01,2024,June,Other Countries,41983,113470,198.57
2024-07-01,2024,July,India,41318,187810,328.67
2024-07-01,2024,July,Russia,30049,187810,328.67
2024-07-01,2024,July,United Kingdom,18781,187810,328.67
2024-07-01,2024,July,Germany,15024,187810,328.67
2024-07-01,2024,July,China,13146,187810,328.67
2024-07-01,2024,July,Other Countries,69489,187810,328.67
2024-08-01,2024,August,India,36213,164609,288.07
2024-08-01,2024,August,Russia,26337,164609,288.07
2024-08-01,2024,August,United Kingdom,16460,164609,288.07
2024-08-01,2024,August,Germany,13168,164609,288.07
2024-08-01,2024,August,China,11522,164609,288.07
2024-08-01,2024,August,Other Countries,60905,164609,288.07
2024-09-01,2024,September,India,32877,149444,261.53
2024-09-01,2024,September,Russia,23911,149444,261.53
2024-09-01,2024,September,United Kingdom,14944,149444,261.53
2024-09-01,2024,September,Germany,11955,149444,261.53
2024-09-01,2024,September,China,10461,149444,261.53
2024-09-01,2024,September,Other Countries,55294,149444,261.53
2024-10-01,2024,October,India,29899,135907,237.84
2024-10-01,2024,October,Russia,21745,135907,237.84
2024-10-01,2024,October,United Kingdom,13590,135907,237.84
2024-10-01,2024,October,Germany,10872,135907,237.84
2024-10-01,2024,October,China,9513,135907,237.84
2024-10-01,2024,October,Other Countries,50285,135907,237.84
2024-11-01,2024,November,India,43725,198754,347.82
2024-11-01,2024,November,Russia,31800,198754,347.82
2024-11-01,2024,November,United Kingdom,19875,198754,347.82
2024-11-01,2024,November,Germany,15900,198754,347.82
2024-11-01,2024,November,China,13912,198754,347.82
2024-11-01,2024,November,Other Countries,73538,198754,347.82
2024-12-01,2024,December,India,55506,252300,441.52
2024-12-01,2024,December,Russia,40368,252300,441.52
2024-12-01,2024,December,United Kingdom,25230,252300,441.52
2024-12-01,2024,December,Germany,20184,252300,441.52
2024-12-01,2024,December,China,17661,252300,441.52
2024-12-01,2024,December,Other Countries,93351,252300,441.52
2025-01-01,2025,January,India,49500,225000,393.75
2025-01-01,2025,January,Russia,36000,225000,393.75
2025-01-01,2025,January,United Kingdom,22500,225000,393.75
2025-01-01,2025,January,Germany,18000,225000,393.75
2025-01-01,2025,January,China,15750,225000,393.75
2025-01-01,2025,January,Other Countries,83250,225000,393.75
2025-02-01,2025,February,India,52360,238000,416.5
2025-02-01,2025,February,Russia,38080,238000,416.5
2025-02-01,2025,February,United Kingdom,23800,238000,416.5
2025-02-01,2025,February,Germany,19040,238000,416.5
2025-02-01,2025,February,China,16660,238000,416.5
2025-02-01,2025,February,Other Countries,88060,238000,416.5
2025-03-01,2025,March,India,48840,222000,388.5
2025-03-01,2025,March,Russia,35520,222000,388.5
2025-03-01,2025,March,United Kingdom,22200,222000,388.5
2025-03-01,2025,March,Germany,17760,222000,388.5
2025-03-01,2025,March,China,15540,222000,388.5
2025-03-01,2025,March,Other Countries,82140,222000,388.5
2025-04-01,2025,April,India,36300,165000,288.75
2025-04-01,2025,April,Russia,26400,165000,288.75
2025-04-01,2025,April,United Kingdom,16500,165000,288.75
2025-04-01,2025,April,Germany,13200,165000,288.75
2025-04-01,2025,April,China,11550,165000,288.75
2025-04-01,2025,April,Other Countries,61050,165000,288.75
2025-05-01,2025,May,India,28600,130000,227.5
2025-05-01,2025,May,Russia,20800,130000,227.5
2025-05-01,2025,May,United Kingdom,13000,130000,227.5
2025-05-01,2025,May,Germany,10400,130000,227.5
2025-05-01,2025,May,China,9100,130000,227.5
2025-05-01,2025,May,Other Countries,48100,130000,227.5
2025-06-01,2025,June,India,28160,128000,224.0
2025-06-01,2025,June,Russia,20480,128000,224.0
2025-06-01,2025,June,United Kingdom,12800,128000,224.0
2025-06-01,2025,June,Germany,10240,128000,224.0
2025-06-01,2025,June,China,8960,128000,224.0
2025-06-01,2025,June,Other Countries,47360,128000,224.0
2025-07-01,2025,July,India,45100,205000,358.75
2025-07-01,2025,July,Russia,32800,205000,358.75
2025-07-01,2025,July,United Kingdom,20500,205000,358.75
2025-07-01,2025,July,Germany,16400,205000,358.75
2025-07-01,2025,July,China,14350,205000,358.75
2025-07-01,2025,July,Other Countries,75850,205000,358.75
2025-08-01,2025,August,India,40700,185000,323.75
2025-08-01,2025,August,Russia,29600,185000,323.75
2025-08-01,2025,August,United Kingdom,18500,185000,323.75
2025-08-01,2025,August,Germany,14800,185000,323.75
2025-08-01,2025,August,China,12950,185000,323.75
2025-08-01,2025,August,Other Countries,68450,185000,323.75
2025-09-01,2025,September,India,35200,160000,280.0
2025-09-01,2025,September,Russia,25600,160000,280.0
2025-09-01,2025,September,United Kingdom,16000,160000,280.0
2025-09-01,2025,September,Germany,12800,160000,280.0
2025-09-01,2025,September,China,11200,160000,280.0
2025-09-01,2025,September,Other Countries,59200,160000,280.0
2025-10-01,2025,October,India,34100,155000,271.25
2025-10-01,2025,October,Russia,24800,155000,271.25
2025-10-01,2025,October,United Kingdom,15500,155000,271.25
2025-10-01,2025,October,Germany,12400,155000,271.25
2025-10-01,2025,October,China,10850,155000,271.25
2025-10-01,2025,October,Other Countries,57350,155000,271.25
2025-11-01,2025,November,India,47300,215000,376.25
2025-11-01,2025,November,Russia,34400,215000,376.25
2025-11-01,2025,November,United Kingdom,21500,215000,376.25
2025-11-01,2025,November,Germany,17200,215000,376.25
2025-11-01,2025,November,China,15050,215000,376.25
2025-11-01,2025,November,Other Countries,79550,215000,376.25
2025-12-01,2025,December,India,60500,275000,481.25
2025-12-01,2025,December,Russia,44000,275000,481.25
2025-12-01,2025,December,United Kingdom,27500,275000,481.25
2025-12-01,2025,December,Germany,22000,275000,481.25
2025-12-01,2025,December,China,19250,275000,481.25
2025-12-01,2025,December,Other Countries,101750,275000,481.25
2026-01-01,2026,January,India,54560,248000,434.0
2026-01-01,2026,January,Russia,39680,248000,434.0
2026-01-01,2026,January,United Kingdom,24800,248000,434.0
2026-01-01,2026,January,Germany,19840,248000,434.0
2026-01-01,2026,January,China,17360,248000,434.0
2026-01-01,2026,January,Other Countries,91760,248000,434.0
2026-02-01,2026,February,India,57200,260000,455.0
2026-02-01,2026,February,Russia,41600,260000,455.0
2026-02-01,2026,February,United Kingdom,26000,260000,455.0
2026-02-01,2026,February,Germany,20800,260000,455.0
2026-02-01,2026,February,China,18200,260000,455.0
2026-02-01,2026,February,Other Countries,96200,260000,455.0
2026-03-01,2026,March,India,53900,245000,428.75
2026-03-01,2026,March,Russia,39200,245000,428.75
2026-03-01,2026,March,United Kingdom,24500,245000,428.75
2026-03-01,2026,March,Germany,19600,245000,428.75
2026-03-01,2026,March,China,17150,245000,428.75
2026-03-01,2026,March,Other Countries,90650,245000,428.75
2026-04-01,2026,April,India,39600,180000,315.0
2026-04-01,2026,April,Russia,28800,180000,315.0
2026-04-01,2026,April,United Kingdom,18000,180000,315.0
2026-04-01,2026,April,Germany,14400,180000,315.0
2026-04-01,2026,April,China,12600,180000,315.0
2026-04-01,2026,April,Other Countries,66600,180000,315.0
2026-05-01,2026,May,India,31900,145000,253.75
2026-05-01,2026,May,Russia,23200,145000,253.75
2026-05-01,2026,May,United Kingdom,14500,145000,253.75
2026-05-01,2026,May,Germany,11600,145000,253.75
2026-05-01,2026,May,China,10150,145000,253.75
2026-05-01,2026,May,Other Countries,53650,145000,253.75
2026-06-01,2026,June,India,31240,142000,248.5
2026-06-01,2026,June,Russia,22720,142000,248.5
2026-06-01,2026,June,United Kingdom,14200,142000,248.5
2026-06-01,2026,June,Germany,11360,142000,248.5
2026-06-01,2026,June,China,9940,142000,248.5
2026-06-01,2026,June,Other Countries,52540,142000,248.5
2026-07-01,2026,July,India,48400,220000,385.0
2026-07-01,2026,July,Russia,35200,220000,385.0
2026-07-01,2026,July,United Kingdom,22000,220000,385.0
2026-07-01,2026,July,Germany,17600,220000,385.0
2026-07-01,2026,July,China,15400,220000,385.0
2026-07-01,2026,July,Other Countries,81400,220000,385.0
2026-08-01,2026,August,India,43560,198000,346.5
2026-08-01,2026,August,Russia,31680,198000,346.5
2026-08-01,2026,August,United Kingdom,19800,198000,346.5
2026-08-01,2026,August,Germany,15840,198000,346.5
2026-08-01,2026,August,China,13860,198000,346.5
2026-08-01,2026,August,Other Countries,73260,198000,346.5
